Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 115 | Raw Crowd Count: 0.00 | Raw Flow Mag: 2.9800
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 120 | Raw Crowd Count: 0.00 | Raw Flow Mag: 2.9666
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 125 | Raw Crowd Count: 0.00 | Raw Flow Mag: 2.3045
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 130 | Raw Crowd Count: 0.00 | Raw Flow Mag: 1.8218
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 135 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.9536
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 140 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.7595
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 145 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.7136
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 150 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.6420
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 155 | Raw Crowd Count: 0.00 | Raw Flow Mag: 1.4463
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 160 | Raw Crowd Count: 0.00 | Raw Flow Mag: 1.4839
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 165 | Raw Crowd Count: 1.00 | Raw Flow Mag: 0.8570
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 170 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.5513
Job: c9a51b9c-e6dd-4e88-bce5-d8b419b64ee3 | Frame: 175 | Raw Crowd Count: 0.00 | Raw Flow Mag: 0.2101
